Project_No,Project_Name,Simple_Actors,Average_Actors,Complex_Actors,UAW,Simple_UC,Average_UC,Complex_UC,UUCW,UUCP,TCF,ECF,UCP,Real_Effort_Person_Hours,Norm_Effort,ApplicationType
6,F14a_black_professionals_net,1,2,1,8,11,5,2,0,8,0.9,1.03,7.416,146,7.874865156,
12,f14a_cash_doctor,1,2,2,11,6,4,0,70,81,0.9,1.025,74.7225,724,39.24119241,
8,f14a_e_lock_box,4,2,1,11,6,9,6,0,11,0.8,1.23,10.824,125,7.418699187,
15,f14a_gotrla,2,2,1,9,1,6,3,110,119,0.835,0.995,98.868175,482,29.00731201,
13,F14a_mobile_application_for_mobile_controlled_lighting,1,2,1,8,2,3,0,40,48,0.925,1.04,46.176,257.5,13.38357588,
10,F14a_REFERsy,3,3,1,12,6,3,1,75,87,0.925,0.995,80.072625,263,14.28765449,
11,F14a_sharethetraining_com,3,0,2,9,5,8,0,105,114,0.88,1.04,104.3328,571,31.19536713,
5,F14a_snapp_voice_communication_system,2,2,2,12,33,6,6,0,12,0.96,1.03,11.8656,147,7.382686084,
19,F14a_soccer_data_web_crawler,2,2,3,,2,6,0,70,70,0.915,1.025,65.65125,268.5,14.31427429,
2,F14a_tipsure_com,2,2,0,6,2,1,5,95,101,0.855,1.025,88.513875,266,15.17615176,
9,F14a_women_at_work_website_redesign,2,1,3,13,4,3,1,65,78,0.855,1.025,68.35725,140.5,8.015974897,
4,F15a_combat_conflict,3,0,1,6,4,3,0,50,56,0.795,0.92,40.9584,1281,87.57178015,
6,F15a_construction_meeting_minutes_application,1,1,1,6,4,10,4,180,186,0.925,0.95,163.4475,1482.5,84.35277383,
3,F15a_linggo,2,2,0,6,15,5,6,0,6,1.04,1.12,6.9888,1142,6.26717033,
7,F15a_nice_ecommerse,1,3,3,16,16,6,2,170,186,0.805,1.025,153.47325,617,37.3882745,
5,F15a_tour_conductor,2,2,1,9,5,2,1,60,69,0.885,0.89,54.34785,1347,85.50752238,
1,s14b_location_based_ad,3,2,2,13,28,9,10,380,393,1.12,1.325,583.212,3680,123.9892183,
7,S15b_mission_science_irobots,2,2,9,33,8,1,4,0,33,1.14,1.15,43.263,759,5.568268497,
3,s15b_snap_valet,1,2,2,11,0,3,8,150,161,0.925,0.965,143.712625,302.5,16.94440555,
1,S15b_we_are_trojans_network,3,0,2,9,0,5,4,110,119,0.935,0.935,104.032775,1965,112.3852555,
3,s16_bad_driver,2,4,2,16,11,1,0,65,81,1.135,1.25,114.91875,1392,49.05726872,
4,S16b_flower_seeker,3,2,1,10,13,3,0,95,105,0.89,1.025,95.78625,804.5,44.0942724,
2,s16b_Picshare_AA,2,2,0,6,22,2,0,130,136,0.94,0.875,111.86,1592,96.7781155,
1,s16b_Picshare_RA,1,2,1,8,17,5,2,165,173,0.94,0.89,144.7318,3113,186.0506813,
4,s17_tikiman_go,1,1,0,3,28,0,0,140,143,1.175,1.31,220.11275,737,23.94023063,
1,UC_1,3,0,0,3,0,2,1,35,38,1.03,2.25,188.065,1981.493333,,
2,UC_2,3,0,0,3,2,1,0,20,23,1.005,2.45,56.63175,758.731,,
3,UC_3,1,0,0,1,18,0,0,90,91,1.016,2.25,208.026,285.51375,,
4,UC_4,1,2,3,14,2,1,0,20,34,1.02,2.083333333,72.25,1204.1,,
5,UC_5,2,0,0,2,0,3,1,45,47,1.02875,2.25,108.7903125,624.90875,,
6,UC_6,2,2,0,6,2,1,0,20,26,1.02125,2.4,63.726,815.46025,,
7,UC_7,8,0,0,8,1,5,2,85,93,1.030625,2.25,215.6582813,2678.333333,,
8,UC_8,2,0,0,2,22,2,0,130,132,1.015625,2.25,301.640625,3559.886667,,
9,UC_9,1,2,1,8,3,2,0,35,43,1.013,2.39,104.10601,974.74625,,
