id,element,useCase,type,component
1,User:Hompage,View Status of Submitted comment,boundary,Hompage
2,User:Chooses the option to view status of comment,View Status of Submitted comment,boundary,Choosesameeting
3,User:Selects a comment,View Status of Submitted comment,boundary,Selectsassignedtask
4,Chooses the option to view status of comment:displays the view comment screen.,View Status of Submitted comment,control,displaystheviewpendingtasksscreen
5,Displays comment details and assignee:Hompage,View Status of Submitted comment,boundary,Hompage
6,Selects a comment:Displays comment details and assignee,View Status of Submitted comment,control,displaystheviewpendingtasksscreen
7,displays the view comment screen.:Displays comment details and assignee,View Status of Submitted comment,control,displaystheviewpendingtasksscreen
8,stl#User:Hompage,View Status of Submitted comment,Stimulus,undefined
9,stl#User:Chooses the option to view status of comment,View Status of Submitted comment,Stimulus,undefined
10,stl#User:Selects a comment,View Status of Submitted comment,Stimulus,undefined
