id,element,useCase,type,component
1,User:Selects the edit project  option.,Edit Project,boundary,Project
2,User:Hompage,Edit Project,boundary,Hompage
3,User:Inputs desired information and selects the update option.,Edit Project,boundary,<<entity>>  Minute  Datastore
4,invalid information is displayed to the user:Hompage,Edit Project,boundary,Hompage
5,Inputs desired information and selects the update option.:attempts to verify the inputs,Edit Project,control,Minute EndPoints
6,invalid information is displayed to the user:Project db,Edit Project,boundary,Project
7,Selects the edit project  option.:displays the edit project screen.,Edit Project,control,Edit Profile Screen
8,attempts to verify the inputs:invalid information is displayed to the user,Edit Project,control,<<entity>>  User  Datastore
9,displays the edit project screen.:attempts to verify the inputs,Edit Project,control,Minute EndPoints
10,stl#User:Selects the edit project  option.,Edit Project,Stimulus,undefined
11,stl#User:Hompage,Edit Project,Stimulus,undefined
12,stl#User:Inputs desired information and selects the update option.,Edit Project,Stimulus,undefined
