id,element,useCase,type,component
1,administrator:success message,delete a school,control,Survey Management
2,administrator:school list page,delete a school,entity,schoolinformaiton
3,administrator:same school and name message,delete a school,control,Association Management
4,delete the school and address:success message,delete a school,control,Survey Management
5,delete the school and address:school informaiton,delete a school,entity,schoolinformaiton
6,retrieve school information from db:delete the school and address,delete a school,entity,schoolinformaiton
7,display error message for same name and address:same school and name message,delete a school,control,Association Management
8,retrieve school information from db:display error message for same name and address,delete a school,control,Association Management
9,retrieve school information from db:school informaiton,delete a school,entity,schoolinformaiton
10,school list page:retrieve school information from db,delete a school,entity,schoolinformaiton
11,same school and name message:redirect survey deletion page,delete a school,control,SurveyConfigurationPage
12,redirect survey deletion page:school list page,delete a school,entity,schoolinformaiton
13,stl#administrator:success message,delete a school,Stimulus,undefined
14,stl#administrator:school list page,delete a school,Stimulus,undefined
15,stl#administrator:same school and name message,delete a school,Stimulus,undefined
