id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:upload choice->User:upload choice,Take photo for location,2,1,0,0,0
2,stl#User:upload choice->User:upload choice->upload choice:upload to current location->upload to current location:camera->camera:get location successfully->get location successfully:current location->current location:upload->upload:my upload->my upload:failed to upload->failed to upload:upload choice,Take photo for location,10,9,0,0,0
3,stl#User:upload choice->User:upload choice->upload choice:upload to current location->upload to current location:camera->camera:get location successfully->get location successfully:current location->current location:upload->upload:my upload->my upload:Upload finished->Upload finished:upload choice,Take photo for location,10,9,0,0,0
4,stl#User:upload choice->User:upload choice->upload choice:upload to current location->upload to current location:camera->camera:failed to get current location->failed to get current location:upload choice->upload choice:upload to current location,Take photo for location,7,6,0,0,0
5,stl#User:current location->User:current location->current location:upload->upload:my upload->my upload:failed to upload->failed to upload:upload choice,Take photo for location,6,5,0,0,0
6,stl#User:current location->User:current location->current location:upload->upload:my upload->my upload:Upload finished->Upload finished:upload choice,Take photo for location,6,5,0,0,0
7,stl#Actor:upload choice->Actor:upload choice->upload choice:upload to current location->upload to current location:camera->camera:get location successfully->get location successfully:current location->current location:upload->upload:my upload->my upload:failed to upload->failed to upload:upload choice,Take photo for location,10,9,0,0,0
8,stl#Actor:upload choice->Actor:upload choice->upload choice:upload to current location->upload to current location:camera->camera:get location successfully->get location successfully:current location->current location:upload->upload:my upload->my upload:Upload finished->Upload finished:upload choice,Take photo for location,10,9,0,0,0
9,stl#Actor:upload choice->Actor:upload choice->upload choice:upload to current location->upload to current location:camera->camera:failed to get current location->failed to get current location:upload choice->upload choice:upload to current location,Take photo for location,7,6,0,0,0
10,stl#Actor:upload choice->Actor:upload choice,Take photo for location,2,1,0,0,0
11,stl#Actor:current location->Actor:current location->current location:upload->upload:my upload->my upload:failed to upload->failed to upload:upload choice,Take photo for location,6,5,0,0,0
12,stl#Actor:current location->Actor:current location->current location:upload->upload:my upload->my upload:Upload finished->Upload finished:upload choice,Take photo for location,6,5,0,0,0
