id,element,useCase,type,component
1,administrator:survey import page,Import a survey from survey monkey,control,surveyimportpage
2,administrator:error message,Import a survey from survey monkey,control,surveyimportpage
3,administrator:survey list page,Import a survey from survey monkey,control,surveyimportpage
4,retrieve survey detail:survey monkey,Import a survey from survey monkey,control,surveyimportpage
5,check survey and insert to data to database:survey monkey,Import a survey from survey monkey,control,surveyimportpage
6,check survey and insert to data to database:survey import page,Import a survey from survey monkey,control,surveyimportpage
7,check survey and insert to data to database:survey database,Import a survey from survey monkey,control,surveyimportpage
8,retrieve the survey detail:check survey and insert to data to database,Import a survey from survey monkey,control,surveyimportpage
9,prompt error message:error message,Import a survey from survey monkey,control,surveyimportpage
10,retrieve survey detail:prompt error message,Import a survey from survey monkey,control,surveyimportpage
11,survey import page:retrieve survey detail,Import a survey from survey monkey,control,surveyimportpage
12,retrieve the survey detail:survey detail,Import a survey from survey monkey,control,surveyimportpage
13,survey list page:retrieve the survey detail,Import a survey from survey monkey,control,surveyimportpage
14,stl#administrator:survey import page,Import a survey from survey monkey,Stimulus,undefined
15,stl#administrator:error message,Import a survey from survey monkey,Stimulus,undefined
16,stl#administrator:survey list page,Import a survey from survey monkey,Stimulus,undefined
