id,element,useCase,type,component
1,Customer:register button,Register as Customer,control,Customer
2,Customer:duplicate registration information,Register as Customer,boundary,matchedresultsforlocations
3,Customer:display spinner while saving information,Register as Customer,control,systemerrorwhenconnectingserver
4,Customer:registration page,Register as Customer,boundary,matchedresultsforlocations
5,Customer:main page,Register as Customer,control,manageemployeescreen
6,Customer:system error when saving registration information,Register as Customer,control,systemerrorwhenconnectingserver
7,Customer:system error message,Register as Customer,control,systemerrorwhenconnectingserver
8,Customer:successfully save registration information,Register as Customer,boundary,matchedresultsforlocations
9,Customer:registration information invalid message,Register as Customer,boundary,matchedresultsforlocations
10,save customer information:customer,Register as Customer,control,Customer
11,validate registration information:customer,Register as Customer,control,Customer
12,validate registration information:display spinner while saving information,Register as Customer,control,systemerrorwhenconnectingserver
13,displays registration page:registration page,Register as Customer,boundary,matchedresultsforlocations
14,register button:displays registration page,Register as Customer,boundary,matchedresultsforlocations
15,validate registration information:duplicate registration information,Register as Customer,boundary,matchedresultsforlocations
16,main page:main page,Register as Customer,control,manageemployeescreen
17,successfully save registration information:main page,Register as Customer,control,manageemployeescreen
18,validate registration information:registration information invalid message,Register as Customer,boundary,matchedresultsforlocations
19,registration page:validate registration information,Register as Customer,boundary,matchedresultsforlocations
20,save customer information:system error when saving registration information,Register as Customer,control,systemerrorwhenconnectingserver
21,save customer information:successfully save registration information,Register as Customer,boundary,matchedresultsforlocations
22,save customer information:system error message,Register as Customer,control,systemerrorwhenconnectingserver
23,validate registration information:save customer information,Register as Customer,control,Customer
24,stl#Customer:register button,Register as Customer,Stimulus,undefined
25,stl#Customer:duplicate registration information,Register as Customer,Stimulus,undefined
26,stl#Customer:display spinner while saving information,Register as Customer,Stimulus,undefined
27,stl#Customer:registration page,Register as Customer,Stimulus,undefined
28,stl#Customer:main page,Register as Customer,Stimulus,undefined
29,stl#Customer:system error when saving registration information,Register as Customer,Stimulus,undefined
30,stl#Customer:system error message,Register as Customer,Stimulus,undefined
31,stl#Customer:successfully save registration information,Register as Customer,Stimulus,undefined
32,stl#Customer:registration information invalid message,Register as Customer,Stimulus,undefined
