id,element,useCase,type,component
1,User:Create customers,Create Customers,control,Customer Profile
2,User:Homepage,Create Customers,boundary,Homepage
3,Add customers:Database,Create Customers,entity,Database
4,Add customers:Display customers information,Create Customers,control,Customer Profile
5,Validate customers information:Add customers,Create Customers,control,Customer Profile
6,Create customers:Validate customers information,Create Customers,control,Customer Profile
7,Display customers information:Create customers,Create Customers,control,Customer Profile
8,Display customers information:Homepage,Create Customers,boundary,Homepage
9,stl#User:Create customers,Create Customers,Stimulus,undefined
10,stl#User:Homepage,Create Customers,Stimulus,undefined
