id,element,useCase,type,component
1,Administrator:document list,View document,control,Document
2,Administrator:unauthorized request,View document,boundary,Security Question
3,Administrator:unauthorized request message,View document,boundary,Security Question
4,Administrator:document upload page,View document,control,Document
5,Case Manager:document upload page,View document,control,Document
6,Case Manager:unauthorized request message,View document,boundary,Security Question
7,Case Manager:unauthorized request,View document,boundary,Security Question
8,Case Manager:document list,View document,control,Document
9,download:File Manager,View document,entity,Manager
10,print:Printer service,View document,actor,Services
11,Youth:unauthorized request,View document,boundary,Security Question
12,Youth:document upload page,View document,control,Document
13,Youth:unauthorized request message,View document,boundary,Security Question
14,Youth:document list,View document,control,Document
15,Validate print/download request:role,View document,entity,Groups
16,Validate print/download request:download,View document,control,download
17,Validate print/download request:unauthorized request,View document,boundary,Security Question
18,Validate print/download request:print,View document,control,Admin
19,document upload page:Validate print/download request,View document,control,download
20,print:case information page,View document,boundary,Case Manager
21,query document:db,View document,entity,db
22,document list:validate role of user,View document,control,Limited_User
23,query document:document upload page,View document,control,Document
24,download:file manager,View document,entity,Manager
25,validate role of user:query document,View document,control,Document
26,validate role of user:role,View document,entity,Groups
27,validate role of user:unauthorized request message,View document,boundary,Security Question
28,stl#Administrator:document list,View document,Stimulus,undefined
29,stl#Administrator:unauthorized request,View document,Stimulus,undefined
30,stl#Administrator:unauthorized request message,View document,Stimulus,undefined
31,stl#Administrator:document upload page,View document,Stimulus,undefined
32,stl#Case Manager:document upload page,View document,Stimulus,undefined
33,stl#Case Manager:unauthorized request message,View document,Stimulus,undefined
34,stl#Case Manager:unauthorized request,View document,Stimulus,undefined
35,stl#Case Manager:document list,View document,Stimulus,undefined
36,stl#Youth:unauthorized request,View document,Stimulus,undefined
37,stl#Youth:document upload page,View document,Stimulus,undefined
38,stl#Youth:unauthorized request message,View document,Stimulus,undefined
39,stl#Youth:document list,View document,Stimulus,undefined
