id,transaction,useCase,transactional, TL, DETs, TD, Arch_Diff
1,stl#Admin:Database button->Admin:Database button->Database button:show database info->show database info:List of tables with drop button->List of tables with drop button:drop tabl->drop tabl:Empty complete message,Clear submitted answer,CTRL,6,0,8,48
2,stl#Admin:Empty complete message->Admin:Empty complete message,Clear submitted answer,CTRL,2,0,8,16
3,stl#Admin:List of tables with drop button->Admin:List of tables with drop button->List of tables with drop button:drop tabl->drop tabl:Empty complete message,Clear submitted answer,CTRL,4,0,8,32
1,stl#User:Update message->User:Update message,Edit Page on Website,CTRL,2,0,11,22
2,stl#User:Page Selector->User:Page Selector->Page Selector:Load page to edit->Load page to edit:page edit text field and update button->page edit text field and update button:Update page->Update page:Update message,Edit Page on Website,CTRL,6,0,11,66
3,stl#User:Page Selector->User:Page Selector->Page Selector:Load page to edit->Load page to edit:page edit text field and update button->page edit text field and update button:Update page->Update page:Update error message,Edit Page on Website,CTRL,6,0,11,66
4,stl#User:Page Selector->User:Page Selector->Page Selector:Load page to edit->Load page to edit:page edit text field and update button->page edit text field and update button:Update page->Update page:Page,Edit Page on Website,CTRL,6,0,11,66
5,stl#User:page edit text field and update button->User:page edit text field and update button->page edit text field and update button:Update page->Update page:Update message,Edit Page on Website,CTRL,4,0,11,44
6,stl#User:page edit text field and update button->User:page edit text field and update button->page edit text field and update button:Update page->Update page:Update error message,Edit Page on Website,CTRL,4,0,11,44
7,stl#User:page edit text field and update button->User:page edit text field and update button->page edit text field and update button:Update page->Update page:Page,Edit Page on Website,CTRL,4,0,11,44
8,stl#User:Update error message->User:Update error message,Edit Page on Website,CTRL,2,0,11,22
1,stl#User:username and password interface->User:username and password interface->username and password interface:check login information->check login information:user interface,Login,CTRL,4,0,9,36
2,stl#User:username and password interface->User:username and password interface->username and password interface:check login information->check login information:admin interface,Login,CTRL,4,0,9,36
3,stl#User:username and password interface->User:username and password interface->username and password interface:check login information->check login information:User Info,Login,CTRL,4,0,9,36
4,stl#User:username and password interface->User:username and password interface->username and password interface:check login information->check login information:Error Message,Login,CTRL,4,0,9,36
5,stl#User:admin interface->User:admin interface,Login,CTRL,2,0,9,18
6,stl#User:user interface->User:user interface,Login,CTRL,2,0,9,18
7,stl#User:Error Message->User:Error Message,Login,CTRL,2,0,9,18
1,stl#User:front page->User:front page,Logout,CTRL,2,0,5,10
2,stl#User:Logout Button->User:Logout Button->Logout Button:clear local cache->clear local cache:front page,Logout,CTRL,4,0,5,20
3,stl#User:Logout Button->User:Logout Button->Logout Button:clear local cache->clear local cache:Cookie,Logout,CTRL,4,0,5,20
1,stl#User:Civilian or veteran radio button->User:Civilian or veteran radio button->Civilian or veteran radio button:load first scenario->load first scenario:display scenario->display scenario:Scenario display,Provide Information,CTRL,5,0,6,30
2,stl#User:Civilian or veteran radio button->User:Civilian or veteran radio button->Civilian or veteran radio button:load first scenario->load first scenario:Scenario,Provide Information,CTRL,4,0,6,24
3,stl#User:Scenario display->User:Scenario display,Provide Information,CTRL,2,0,6,12
1,stl#User:Thank you page->User:Thank you page,Take Scenario Quiz,CTRL,2,0,13,26
2,stl#User:Cookie Expiration Error->User:Cookie Expiration Error,Take Scenario Quiz,CTRL,2,0,13,26
3,stl#User:Scenario Page->User:Scenario Page->Scenario Page:Store the answer for the scenario->Store the answer for the scenario:Thank you page,Take Scenario Quiz,CTRL,4,0,13,52
4,stl#User:Scenario Page->User:Scenario Page->Scenario Page:Store the answer for the scenario->Store the answer for the scenario:Scenario,Take Scenario Quiz,CTRL,4,0,13,52
5,stl#User:Scenario Page->User:Scenario Page->Scenario Page:Store the answer for the scenario->Store the answer for the scenario:Load next senario->Load next senario:Scenario,Take Scenario Quiz,CTRL,5,0,13,65
6,stl#User:Scenario Page->User:Scenario Page->Scenario Page:Store the answer for the scenario->Store the answer for the scenario:Load next senario->Load next senario:Scenario Page->Scenario Page:Store the answer for the scenario,Take Scenario Quiz,CTRL,6,0,13,78
7,stl#User:Scenario Page->User:Scenario Page->Scenario Page:Store the answer for the scenario->Store the answer for the scenario:Check cookie expiration->Check cookie expiration:Cookie,Take Scenario Quiz,CTRL,5,0,13,65
8,stl#User:Scenario Page->User:Scenario Page->Scenario Page:Store the answer for the scenario->Store the answer for the scenario:Check cookie expiration->Check cookie expiration:Cookie Expiration Error,Take Scenario Quiz,CTRL,5,0,13,65
1,stl#User:Scenario Page->User:Scenario Page->Scenario Page:store answers as cookie->store answers as cookie:calculate response statistics->calculate response statistics:answer statistics page->answer statistics page:Load communication technique->Load communication technique:communication,Take Team Scenario Quiz,CTRL,7,0,9,63
2,stl#User:Scenario Page->User:Scenario Page->Scenario Page:store answers as cookie->store answers as cookie:calculate response statistics->calculate response statistics:answer statistics page->answer statistics page:Load communication technique->Load communication technique:Scenario Page->Scenario Page:store answers as cookie,Take Team Scenario Quiz,CTRL,8,0,9,72
3,stl#User:Scenario Page->User:Scenario Page->Scenario Page:store answers as cookie->store answers as cookie:Cookie,Take Team Scenario Quiz,CTRL,4,0,9,36
z,undefined,0,7,0,0
35,stl#User:Scenario Page->User:Scenario Page->Scenario Page:store answers as cookie->store answers as cookie:Cookie,Take Team Scenario Quiz,undefined,0,3,0,0
