id,element,useCase,type,component
1,User:add new course page,Add new courses,entity,Course
2,User:addition fails,Add new courses,boundary,additionfails
3,User:deletion success message,Add new courses,boundary,DesiredCoursesSelectionPage
4,User:requirements lists,Add new courses,boundary,Requirement
5,add courses to db:show confirmation course is added,Add new courses,boundary,DesiredCoursesSelectionPage
6,add courses to db:course,Add new courses,entity,Course
7,add courses to db:addition fails,Add new courses,boundary,additionfails
8,check correctness of the input:add courses to db,Add new courses,entity,Course
9,add new course page:check correctness of the input,Add new courses,boundary,DesiredCoursesSelectionPage
10,check correctness of the input:requirements lists,Add new courses,boundary,Requirement
11,check correctness of the input:course,Add new courses,entity,Course
12,show confirmation course is added:deletion success message,Add new courses,boundary,DesiredCoursesSelectionPage
13,stl#User:add new course page,Add new courses,Stimulus,undefined
14,stl#User:addition fails,Add new courses,Stimulus,undefined
15,stl#User:deletion success message,Add new courses,Stimulus,undefined
16,stl#User:requirements lists,Add new courses,Stimulus,undefined
