id,transaction,useCase,transactional,TL, DETs, TD, Arch_Diff
1,stl#User:validation failed message->User:validation failed message->validation failed message:redirect to home page->redirect to home page:home page,Login,TRAN_NA,4,0,5,20
2,stl#User:home page->User:home page,Login,CTRL,2,0,6,12
3,stl#User:Login Page->User:Login Page->Login Page:validate input information->validate input information:user information,Login,TRAN_NA,4,0,3.6666666666666665,14.666666666666666
4,stl#User:Login Page->User:Login Page->Login Page:validate input information->validate input information:send verification code,Login,TRAN_NA,4,0,5,20
5,stl#User:success message->User:success message,Login,CTRL,2,0,3,6
6,stl#User:success message->User:success message,Login,EXTCLL,2,0,3,6
7,stl#User:success message->User:success message,Login,INT,2,0,3,6
8,stl#User:verification code input field->User:verification code input field->verification code input field:validate password->validate password:validation failed message->validation failed message:redirect to home page->redirect to home page:home page,Login,TRAN_NA,6,0,4.6,27.599999999999998
9,stl#User:verification code input field->User:verification code input field->verification code input field:validate password->validate password:user information,Login,TRAN_NA,4,0,3.3333333333333335,13.333333333333334
10,stl#User:verification code input field->User:verification code input field->verification code input field:validate password->validate password:save case information->save case information:success message,Login,TRAN_NA,5,0,3.5,17.5
11,stl#User:verification code input field->User:verification code input field->verification code input field:validate password->validate password:save case information->save case information:case,Login,TRAN_NA,5,0,3,15
12,stl#User:verification code input field->User:verification code input field->verification code input field:validate password->validate password:home page,Login,TRAN_NA,4,0,4.666666666666667,18.666666666666668
13,stl#Administrator:success message->Administrator:success message,Login,CTRL,2,0,3,6
14,stl#Administrator:success message->Administrator:success message,Login,EXTCLL,2,0,3,6
15,stl#Administrator:success message->Administrator:success message,Login,INT,2,0,3,6
16,stl#Administrator:home page->Administrator:home page,Login,CTRL,2,0,6,12
17,stl#Administrator:verification code input field->Administrator:verification code input field->verification code input field:validate password->validate password:validation failed message->validation failed message:redirect to home page->redirect to home page:home page,Login,TRAN_NA,6,0,4.6,27.599999999999998
18,stl#Administrator:verification code input field->Administrator:verification code input field->verification code input field:validate password->validate password:user information,Login,TRAN_NA,4,0,3.3333333333333335,13.333333333333334
19,stl#Administrator:verification code input field->Administrator:verification code input field->verification code input field:validate password->validate password:save case information->save case information:success message,Login,TRAN_NA,5,0,3.5,17.5
20,stl#Administrator:verification code input field->Administrator:verification code input field->verification code input field:validate password->validate password:save case information->save case information:case,Login,TRAN_NA,5,0,3,15
21,stl#Administrator:verification code input field->Administrator:verification code input field->verification code input field:validate password->validate password:home page,Login,TRAN_NA,4,0,4.666666666666667,18.666666666666668
22,stl#Administrator:Login Page->Administrator:Login Page->Login Page:validate input information->validate input information:user information,Login,TRAN_NA,4,0,3.6666666666666665,14.666666666666666
23,stl#Administrator:Login Page->Administrator:Login Page->Login Page:validate input information->validate input information:send verification code,Login,TRAN_NA,4,0,5,20
24,stl#Administrator:validation failed message->Administrator:validation failed message->validation failed message:redirect to home page->redirect to home page:home page,Login,TRAN_NA,4,0,5,20
