id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Weight loser:add charity successfully message-->Weight loser:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:error message in adding charity and sponsor,Create goal,TRAN_NA,4,0,9,3,36
2,stl#Weight loser:add charity successfully message-->Weight loser:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:goal info,Create goal,TRAN_NA,6,1,9.4,5,56.400000000000006
3,stl#Weight loser:add charity successfully message-->Weight loser:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:create goal confirmation message,Create goal,TRAN_NA,6,1,9.4,5,56.400000000000006
4,stl#Weight loser:create goal page-->Weight loser:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:invalid information about added weights,Create goal,TRAN_NA,4,1,7.333333333333333,3,29.333333333333332
5,stl#Weight loser:create goal page-->Weight loser:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:error message in adding charity and sponsor,Create goal,TRAN_NA,4,1,7,3,28
6,stl#Weight loser:create goal page-->Weight loser:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:error message in adding charity and sponsor,Create goal,TRAN_NA,6,2,7.8,5,46.8
7,stl#Weight loser:create goal page-->Weight loser:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:goal info,Create goal,TRAN_NA,8,3,8.428571428571429,7,67.42857142857143
8,stl#Weight loser:create goal page-->Weight loser:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:create goal confirmation message,Create goal,TRAN_NA,8,3,8.428571428571429,7,67.42857142857143
9,stl#Weight loser:create goal confirmation message-->Weight loser:create goal confirmation message,Create goal,CTRL;EXTCLL;INT,2,0,10,1,20
10,stl#Weight loser:error message in adding charity and sponsor-->Weight loser:error message in adding charity and sponsor,Create goal,CTRL;EXTCLL;INT,2,0,9,1,18
11,stl#Weight loser:create goal link on homepage-->Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:goal info,Create goal,TRAN_NA,4,1,7.333333333333333,3,29.333333333333332
12,stl#Weight loser:create goal link on homepage-->Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:invalid information about added weights,Create goal,TRAN_NA,6,0,5.2,5,31.200000000000003
13,stl#Weight loser:create goal link on homepage-->Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:error message in adding charity and sponsor,Create goal,TRAN_NA,6,0,5,5,30
14,stl#Weight loser:create goal link on homepage-->Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:error message in adding charity and sponsor,Create goal,TRAN_NA,8,1,6.142857142857143,7,49.142857142857146
15,stl#Weight loser:create goal link on homepage-->Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:goal info,Create goal,TRAN_NA,10,2,7,9,70
16,stl#Weight loser:create goal link on homepage-->Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:create goal confirmation message,Create goal,TRAN_NA,10,2,7,9,70
17,stl#Weight loser:The weight loser add one sponsor successfully message-->Weight loser:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:goal info,Create goal,TRAN_NA,4,1,9.666666666666666,3,38.666666666666664
18,stl#Weight loser:The weight loser add one sponsor successfully message-->Weight loser:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:create goal confirmation message,Create goal,TRAN_NA,4,1,9.666666666666666,3,38.666666666666664
19,stl#Weight loser:invalid information about added weights-->Weight loser:invalid information about added weights,Create goal,CTRL;EXTCLL;INT,2,0,10,1,20
