id,element,useCase,type,component
1,Administrator:Attendee is not available,Create New Project,boundary,Attendeeisnotavailable
2,Administrator:Create a project screen,Create New Project,boundary,Project
3,Administrator:Edit default attendee list,Create New Project,boundary,Attendeeisnotavailable
4,Administrator:Project information error,Create New Project,boundary,Project
5,verify attendee information:Attendee is not available,Create New Project,boundary,Attendeeisnotavailable
6,Create a project screen:Verify project information,Create New Project,boundary,Project
7,Edit default attendee list:verify attendee information,Create New Project,control,UserInfo
8,Verify project information:Edit default attendee list,Create New Project,boundary,Attendeeisnotavailable
9,Verify project information:Project,Create New Project,boundary,Project
10,Verify project information:Project information error,Create New Project,boundary,Project
11,verify attendee information:attendee information list,Create New Project,boundary,Attendeeisnotavailable
12,stl#Administrator:Attendee is not available,Create New Project,Stimulus,undefined
13,stl#Administrator:Create a project screen,Create New Project,Stimulus,undefined
14,stl#Administrator:Edit default attendee list,Create New Project,Stimulus,undefined
15,stl#Administrator:Project information error,Create New Project,Stimulus,undefined
