id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff,Complexity
1,stl#User:Choose one of appointment->User:Choose one of appointment->Choose one of appointment:Send the cancel form to backend to check its valid if so delete the data in database->Send the cancel form to backend to check its valid if so delete the data in database:show confirmation page->show confirmation page:Homepage,Cancel Appointment,CTRL;EXTCLL;INT,5,4,NaN,undefined,NaN,11
2,stl#User:Click Cancel button->User:Click Cancel button->Click Cancel button:Send the cancel form to backend to check its valid if so delete the data in database->Send the cancel form to backend to check its valid if so delete the data in database:show confirmation page->show confirmation page:Homepage,Cancel Appointment,TRAN_NA,5,4,NaN,undefined,NaN,1
3,stl#User:Receive feedback->User:Receive feedback->Receive feedback:show confirmation page->show confirmation page:Homepage,Cancel Appointment,TRAN_NA,4,3,NaN,undefined,NaN,13
4,stl#User:Homepage->User:Homepage,Cancel Appointment,CTRL;EXTCLL;INT,2,1,NaN,undefined,NaN,9
5,stl#User:Receive verification and session data->User:Receive verification and session data->Receive verification and session data:show confirmation page->show confirmation page:Homepage,Display,CTRL;EXTCLL;INT,4,3,NaN,undefined,NaN,10
6,stl#User:Click login->User:Click login->Click login:Call the function to analyze JSON list and display the results from model list. ->Call the function to analyze JSON list and display the results from model list. :show confirmation page->show confirmation page:Homepage,Display,TRAN_NA,5,4,NaN,undefined,NaN,6
7,stl#User:Click Load More button->User:Click Load More button->Click Load More button:Call the function to analyze JSON list and display the results from model list. ->Call the function to analyze JSON list and display the results from model list. :show confirmation page->show confirmation page:Homepage,Display,TRAN_NA,5,4,NaN,undefined,NaN,10
8,"stl#User:Click logout->User:Click logout->Click logout:	Display error message to users like invalid username or password->	Display error message to users like invalid username or password:Redirect to Login page->Redirect to Login page:Homepage",Log out,TRAN_NA,5,4,NaN,undefined,NaN,14
9,stl#User:Click OK button->User:Click OK button->Click OK button:Redirect to Login page->Redirect to Login page:Homepage,Log out,TRAN_NA,4,3,NaN,undefined,NaN,12
10,"stl#User:Enter username and password->User:Enter username and password->Enter username and password:	Display error message to users like invalid username or password->	Display error message to users like invalid username or password:Redirect to Login page->Redirect to Login page:Homepage",Log out,TRAN_NA,5,4,NaN,undefined,NaN,11
11,stl#User:Click login->User:Click login->Click login:Send the form to Authentication backend to check its valid->Send the form to Authentication backend to check its valid:show confirmation page->show confirmation page:Homepage,Login,TRAN_NA,5,4,NaN,undefined,NaN,2
12,stl#User:Enter username and password->User:Enter username and password->Enter username and password:Send the form to Authentication backend to check its valid->Send the form to Authentication backend to check its valid:show confirmation page->show confirmation page:Homepage,Login,TRAN_NA,5,4,NaN,undefined,NaN,3
13,stl#User:Enter date place with shelter->User:Enter date place with shelter->Enter date place with shelter:Send the form to backend to check its valid->Send the form to backend to check its valid:Redirect to home page->Redirect to home page:Homepage,MakeAppointment,TRAN_NA,5,4,NaN,undefined,NaN,15
14,stl#User:Click Appointment button->User:Click Appointment button->Click Appointment button:Send the form to backend to check its valid->Send the form to backend to check its valid:Redirect to home page->Redirect to home page:Homepage,MakeAppointment,TRAN_NA,5,4,NaN,undefined,NaN,1
15,stl#User:Receive feedback and successful message->User:Receive feedback and successful message->Receive feedback and successful message:Redirect to home page->Redirect to home page:Homepage,MakeAppointment,TRAN_NA,4,3,NaN,undefined,NaN,10
16,stl#User:Receive Appointment Notification page->User:Receive Appointment Notification page->Receive Appointment Notification page:Receive the response of users�� successful appointments->Receive the response of users�� successful appointments:Auto-generated an email and then send email to shelter->Auto-generated an email and then send email to shelter:Homepage,Receive Appointment Notification,TRAN_NA,5,4,NaN,undefined,NaN,5
