id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Administrator:user edit page->Administrator:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information,Activate user,TRAN_NA,9,0,7.5,8,67.5
2,stl#Administrator:user edit page->Administrator:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Activate user,TRAN_NA,5,0,6.25,4,31.25
3,stl#Administrator:user edit page->Administrator:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Activate user,TRAN_NA,4,0,5.333333333333333,3,21.333333333333332
4,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:user is already activated error,Activate user,TRAN_NA,4,0,5,3,20
5,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page,Activate user,TRAN_NA,11,0,7.2,10,79.2
6,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Activate user,TRAN_NA,9,0,6.375,8,57.375
7,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Activate user,TRAN_NA,8,0,6,7,48
8,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:activtate the user->activtate the user:activation success message,Activate user,TRAN_NA,5,0,4.5,4,22.5
9,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:activtate the user->activtate the user:User,Activate user,TRAN_NA,5,0,4.25,4,21.25
10,stl#Administrator:user information page->Administrator:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page,Activate user,TRAN_NA,9,0,7.5,8,67.5
11,stl#Administrator:user information page->Administrator:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Activate user,TRAN_NA,7,0,6.5,6,45.5
12,stl#Administrator:user information page->Administrator:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Activate user,TRAN_NA,6,0,6,5,36
13,stl#Administrator:unauthorized error message->Administrator:unauthorized error message,Activate user,CTRL,2,0,2,1,4
14,stl#Administrator:user is already activated error->Administrator:user is already activated error,Activate user,CTRL,2,0,3,1,6
15,stl#Administrator:invalid input information error->Administrator:invalid input information error,Activate user,CTRL,2,0,2,1,4
16,stl#Administrator:invalid input information error->Administrator:invalid input information error,Activate user,EXTCLL,2,0,2,1,4
17,stl#Administrator:invalid input information error->Administrator:invalid input information error,Activate user,INT,2,0,2,1,4
18,stl#Administrator:activation success message->Administrator:activation success message,Activate user,CTRL,2,0,3,1,6
19,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:user is already activated error,Activate user,TRAN_NA,6,0,4.2,5,25.200000000000003
20,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page,Activate user,TRAN_NA,13,0,6.5,12,84.5
21,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Activate user,TRAN_NA,11,0,5.7,10,62.7
22,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Activate user,TRAN_NA,10,0,5.333333333333333,9,53.33333333333333
23,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:activtate the user->activtate the user:activation success message,Activate user,TRAN_NA,7,0,4,6,28
24,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:activtate the user->activtate the user:User,Activate user,TRAN_NA,7,0,3.8333333333333335,6,26.833333333333336
25,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:unauthorized error message,Activate user,TRAN_NA,4,0,2.6666666666666665,3,10.666666666666666
26,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:role,Activate user,TRAN_NA,4,0,2.3333333333333335,3,9.333333333333334
