id,element,useCase,type,component
1,share to social network:Facebook,Sharing articles to social media,entity,Admininterface
2,share to social network:Google plus,Sharing articles to social media,actor,User Profile
3,share to social network:Twitter,Sharing articles to social media,entity,Admininterface
4,User:article info,Sharing articles to social media,boundary,queryarticleinfo
5,User:Article list,Sharing articles to social media,boundary,queryarticleinfo
6,Article list:query article info,Sharing articles to social media,boundary,queryarticleinfo
7,share to social network:Twitter,Sharing articles to social media,entity,Admininterface
8,query article info:article,Sharing articles to social media,boundary,queryarticleinfo
9,article info:share to social network,Sharing articles to social media,control,Invalidstoreerrormessage
10,query article info:article info,Sharing articles to social media,boundary,queryarticleinfo
11,stl#User:article info,Sharing articles to social media,Stimulus,undefined
12,stl#User:Article list,Sharing articles to social media,Stimulus,undefined
