id,element,useCase,type,component
1,User:"manage user" link,Add User,control,MessageManage Page
2,User:Display usc Id empty error,Add User,control,displayformwithtextinputarea
3,User:user information input page,Add User,control,displayformwithtextinputarea
4,User:empty announcement form,Add User,boundary,emptyannouncementform
5,User:USC ID existing error,Add User,control,displayformwithtextinputarea
6,User:user management page,Add User,control,MessageManage Page
7,User:success message,Add User,control,MessageManage Page
8,User:error lert about confliect,Add User,control,checkconflictsituation
9,User:display invalid email format,Add User,control,displayformwithtextinputarea
10,"manage user" link:redirect to a pgage for user management,Add User,control,MessageManage Page
11,check usc id exist or not:Display usc Id empty error,Add User,control,displayformwithtextinputarea
12,check usc id exist or not:USC ID existing error,Add User,control,displayformwithtextinputarea
13,add user into db:display success message,Add User,control,MessageManage Page
14,add user into db:error lert about confliect,Add User,control,checkconflictsituation
15,check usc id exist or not:add user into db,Add User,boundary,adduserintodb
16,empty announcement form:add user into db,Add User,boundary,adduserintodb
17,check usc id exist or not:empty announcement form,Add User,boundary,emptyannouncementform
18,check usc id exist or not:display invalid email format,Add User,control,displayformwithtextinputarea
19,user information input page:check usc id exist or not,Add User,control,checkconflictsituation
20,direct back to announcement page:success message,Add User,control,MessageManage Page
21,display success message:direct back to announcement page,Add User,boundary,emptyannouncementform
22,display form with text input area:site list,Add User,boundary,System Boundary
23,display form with text input area:user information input page,Add User,control,displayformwithtextinputarea
24,user management page:display form with text input area,Add User,control,displayformwithtextinputarea
25,display success message:success message,Add User,control,MessageManage Page
26,redirect to a pgage for user management:user management,Add User,control,MessageManage Page
27,redirect to a pgage for user management:user management page,Add User,control,MessageManage Page
28,stl#User:"manage user" link,Add User,Stimulus,undefined
29,stl#User:Display usc Id empty error,Add User,Stimulus,undefined
30,stl#User:user information input page,Add User,Stimulus,undefined
31,stl#User:empty announcement form,Add User,Stimulus,undefined
32,stl#User:USC ID existing error,Add User,Stimulus,undefined
33,stl#User:user management page,Add User,Stimulus,undefined
34,stl#User:success message,Add User,Stimulus,undefined
35,stl#User:error lert about confliect,Add User,Stimulus,undefined
36,stl#User:display invalid email format,Add User,Stimulus,undefined
