id,element,useCase,type,component
1,redirect to job description page:description page,Subscribe for notifications,control,Notification
2,Jobseeker:description page,Subscribe for notifications,control,Notification
3,display success message:redirect to job description page,Subscribe for notifications,boundary,triggerdownloadthelistofjobstoasubscriber
4,Jobseeker:display success message,Subscribe for notifications,boundary,Invaliddetailinputmessage
5,send job id subscription method and user details to search in encrypted fashion:display success message,Subscribe for notifications,boundary,Invaliddetailinputmessage
6,email or text message notification choice:redirect to profile details page,Subscribe for notifications,boundary,UserProfilebutton
7,read existing information:email or text message notification choice,Subscribe for notifications,control,Notification
8,Jobseeker:email or text message notification choice,Subscribe for notifications,control,Notification
9,read existing information:form for inputting user information,Subscribe for notifications,boundary,UserProfilebutton
10,profile details page:send job id subscription method and user details to search in encrypted fashion,Subscribe for notifications,control,checkifemailidandmodelnumberareexisting
11,Jobseeker:profile details page,Subscribe for notifications,boundary,UserProfilebutton
12,redirect to profile details page:profile details page,Subscribe for notifications,boundary,UserProfilebutton
13,read existing information:user profile database,Subscribe for notifications,boundary,UserProfilebutton
14,subscription page:read existing information,Subscribe for notifications,control,Notification
15,redirect to the subscription page:subscription page,Subscribe for notifications,boundary,triggerdownloadthelistofjobstoasubscriber
16,subscribe button:redirect to the subscription page,Subscribe for notifications,boundary,triggerdownloadthelistofjobstoasubscriber
17,save detail into user profile database:user profile database,Subscribe for notifications,boundary,UserProfilebutton
18,send job id subscription method and user details to search in encrypted fashion:save detail into user profile database,Subscribe for notifications,boundary,UserProfilebutton
19,send job id subscription method and user details to search in encrypted fashion:time out error message,Subscribe for notifications,boundary,Invaliddetailinputmessage
20,Jobseeker:subscribe button,Subscribe for notifications,boundary,UserProfilebutton
21,Jobseeker:subscription page,Subscribe for notifications,boundary,triggerdownloadthelistofjobstoasubscriber
22,Jobseeker:time out error message,Subscribe for notifications,boundary,Invaliddetailinputmessage
23,stl#Jobseeker:description page,Subscribe for notifications,Stimulus,undefined
24,stl#Jobseeker:display success message,Subscribe for notifications,Stimulus,undefined
25,stl#Jobseeker:email or text message notification choice,Subscribe for notifications,Stimulus,undefined
26,stl#Jobseeker:profile details page,Subscribe for notifications,Stimulus,undefined
27,stl#Jobseeker:subscribe button,Subscribe for notifications,Stimulus,undefined
28,stl#Jobseeker:subscription page,Subscribe for notifications,Stimulus,undefined
29,stl#Jobseeker:time out error message,Subscribe for notifications,Stimulus,undefined
