id,element,useCase,type,component
1,Administrator:case created success message,Create a youth user,control,Case_addresses
2,Administrator:generate a random password,Create a youth user,control,Password
3,Administrator:unauthorized error message,Create a youth user,entity,Manager
4,Administrator:username and received password input,Create a youth user,control,Password
5,Administrator:Create user button,Create a youth user,entity,Users
6,email password:Email protocol,Create a youth user,control,Case_email
7,create a case for the user:Case,Create a youth user,entity,Cases
8,Create user button:validate role of user,Create a youth user,control,Limited_User
9,insert username and received password into DB:User,Create a youth user,entity,Users
10,create a case for the user:case created success message,Create a youth user,control,Case_addresses
11,insert username and received password into DB:create a case for the user,Create a youth user,control,$help://use_case_model_pattern.htm
12,generate a random password:email password,Create a youth user,control,Password
13,validate role of user:generate a random password,Create a youth user,control,Password
14,username and received password input:insert username and received password into DB,Create a youth user,control,Password
15,validate role of user:role,Create a youth user,entity,Groups
16,validate role of user:unauthorized error message,Create a youth user,entity,Manager
17,stl#Administrator:case created success message,Create a youth user,Stimulus,undefined
18,stl#Administrator:generate a random password,Create a youth user,Stimulus,undefined
19,stl#Administrator:unauthorized error message,Create a youth user,Stimulus,undefined
20,stl#Administrator:username and received password input,Create a youth user,Stimulus,undefined
21,stl#Administrator:Create user button,Create a youth user,Stimulus,undefined
