id,element,useCase,type,component
1,User:role validation failed message,create high level user,boundary,validatetheentries
2,User:validation failed message,create high level user,boundary,validatetheentries
3,User:"Use Management" button,create high level user,boundary,User management
4,User:user information page,create high level user,control,Use information
5,"Use Management" button:validate the role of user,create high level user,boundary,validatetheentries
6,insert user information:user info,create high level user,entity,User
7,validate the information:insert user information,create high level user,control,Use information
8,return to the user information page:user information page,create high level user,control,Use information
9,validate the role of user:return to the user information page,create high level user,control,Use information
10,validate the role of user:role validation failed message,create high level user,boundary,validatetheentries
11,validate the role of user:user info,create high level user,entity,User
12,user information page:validate the information,create high level user,control,Use information
13,validate the information:validation failed message,create high level user,boundary,validatetheentries
14,stl#User:role validation failed message,create high level user,Stimulus,undefined
15,stl#User:validation failed message,create high level user,Stimulus,undefined
16,stl#User:"Use Management" button,create high level user,Stimulus,undefined
17,stl#User:user information page,create high level user,Stimulus,undefined
