id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display transactions->Display transactions:Retrieve transactions->Retrieve transactions:Transaction DB,View Transaction Log,TRAN_NA,5,4,40,1,200
2,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display transactions->Display transactions:Retrieve selected transactions->Retrieve selected transactions:Transaction DB,View Transaction Log,TRAN_NA,5,4,40,1,200
3,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display transactions->Display transactions:Partner List,View Transaction Log,TRAN_NA,4,3,13,2,52
4,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display transactions->Display transactions:Retrieve and print->Retrieve and print:Transaction DB,View Transaction Log,TRAN_NA,5,4,15.5,2,77.5
5,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display transactions->Display transactions:Display pritner failure message->Display pritner failure message:System message page,View Transaction Log,TRAN_NA,5,4,10,3,50
6,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display transactions->Display transactions:Display no transactions message->Display no transactions message:System message page,View Transaction Log,TRAN_NA,5,4,17,2,85
7,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display transactions->Display transactions:Display connection error message->Display connection error message:System message page,View Transaction Log,TRAN_NA,5,4,10,3,50
8,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display transactions->Display transactions:Display connection error message->Display connection error message:Partner Info,View Transaction Log,TRAN_NA,5,4,16,2,80
9,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display transactions->Display transactions:Direct to modify->Direct to modify:Transaction DB,View Transaction Log,TRAN_NA,5,4,15.5,2,77.5
10,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display transactions->Display transactions:Direct to modify->Direct to modify:Dispute Redemption Page,View Transaction Log,TRAN_NA,5,4,15.5,2,77.5
11,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display connection error message->Display connection error message:System message page,View Transaction Log,TRAN_NA,4,3,6.666666666666667,3,26.666666666666668
12,stl#Administrator:Transaction Log Page->Administrator:Transaction Log Page->Transaction Log Page:Display connection error message->Display connection error message:Partner Info,View Transaction Log,TRAN_NA,4,3,11,2,44
