id,path,functional,transactional,path_length, boundary_num, control_num, entity_num, actor_num, utw, diagram,useCase
1,User->login page->pre-check if input is empty->query authentication info->user info,EI,CTRL|DM|EI,5,1,2,1,1,0,Login,Login
2,User->login page->pre-check if input is empty->invalid input error message,EQ,CTRL|INT,4,2,1,0,1,1,Login,Login
3,User->login page->pre-check if input is empty->error message for empty input,EQ,CTRL|INT,4,2,1,0,1,1,Login,Login
4,User->logout button->clear session->Session,EI,CTRL|DM|EI,4,1,1,1,1,0,Logout,Logout
5,User->Create Profile Page->pre-check if input is empty->error message for empty input,EQ,CTRL|INT,4,2,1,0,1,1,Create profile,Create profile
6,User->Create Profile Page->pre-check if input is empty->existing profile error message,EQ,CTRL|INT,4,2,1,0,1,1,Create profile,Create profile
7,User->Create Profile Page->pre-check if input is empty->successful information for creation,EQ,CTRL|INT,4,2,1,0,1,1,Create profile,Create profile
8,User->Create Profile Page->pre-check if input is empty->send information in db->user info,EI,CTRL|DM|EI,5,1,2,1,1,0,Create profile,Create profile
9,User->profile edit page->pre-check required fields->invalid information error message,EQ,CTRL|INT,4,2,1,0,1,1,Manage Profile,Manage Profile
10,User->profile edit page->pre-check required fields->update profile entry->user info,EI,CTRL|DM|EI,5,1,2,1,1,0,Manage Profile,Manage Profile
11,User->profile edit page->pre-check required fields->update profile entry->successful change message,EQ,CTRL|INT,5,2,2,0,1,2,Manage Profile,Manage Profile
12,User->Edit profile button->display profile edit page,FUNC_NA,TRAN_NA,3,1,1,0,1,0,Manage Profile,Manage Profile
13,User->product search page->query product by criteria->No product error message,EQ,CTRL|INT,4,2,1,0,1,1,Search Product,Search Product
14,User->product search page->query product by criteria->product page,EQ,CTRL|INT,4,2,1,0,1,1,Search Product,Search Product
15,User->product search page->query product by criteria->product,EI,CTRL|DM|EI,4,1,1,1,1,0,Search Product,Search Product
16,User->add to cart button->check db if available->not available error message,EQ,CTRL|INT,4,2,1,0,1,1,Add to cart,Add to cart
17,User->add to cart button->check db if available->add to cart->cart,EI,CTRL|DM|EI,5,1,2,1,1,0,Add to cart,Add to cart
18,User->add to cart button->check db if available->product,EI,CTRL|DM|EI,4,1,1,1,1,0,Add to cart,Add to cart
19,User->payment information page->pre-check if required information is empty->verify payment information->thirdpart payment system,FUNC_NA,CTRL|EXTIVK,5,1,2,0,2,0,Place Order,Place Order
20,User->payment information page->pre-check if required information is empty->missing information for payment message,EQ,CTRL|INT,4,2,1,0,1,2,Place Order,Place Order
21,thirdpart payment system->approve transaction and display successful message->payment successful message,FUNC_NA,CTRL|EXTCLL|INT,3,1,1,0,1,0,Place Order,Place Order
22,thirdpart payment system->send error message for invalid payment information->invalid payment inforrmation,FUNC_NA,CTRL|EXTCLL|INT,3,1,1,0,1,0,Place Order,Place Order
23,User->Order history button->retrieve order history->order,EI,CTRL|DM|EI,4,1,1,1,1,0,View order history,View order history
24,User->Order history button->retrieve order history->no order history page,EQ,CTRL|INT,4,2,1,0,1,1,View order history,View order history
25,User->Order history button->retrieve order history->order history list,EQ,CTRL|INT,4,2,1,0,1,1,View order history,View order history
26,florist->Order history button->retrieve order history for a florist->order,EI,CTRL|DM|EI,4,1,1,1,1,0,View Past Transactions,View Past Transactions
27,florist->Order history button->retrieve order history for a florist->no order history page,EQ,CTRL|INT,4,2,1,0,1,1,View Past Transactions,View Past Transactions
28,florist->Order history button->retrieve order history for a florist->order history list,EQ,CTRL|INT,4,2,1,0,1,1,View Past Transactions,View Past Transactions
29,user->Track order button->retrieve order status->order status,EQ,CTRL|INT,4,2,1,0,1,1,Track Order,Track Order
30,user->Track order button->retrieve order status->order,EI,CTRL|DM|EI,4,1,1,1,1,0,Track Order,Track Order
31,florist->Order page->update order status information->order,EI,CTRL|DM|EI,4,1,1,1,1,0,Provide tracking information,Provide tracking information
32,florist->Order page->update order status information->update successful page,EQ,CTRL|INT,4,2,1,0,1,1,Provide tracking information,Provide tracking information
33,customer->review button->display review penal->review panel,EQ,CTRL|INT,4,2,1,0,1,1,Review and Rating,Review and Rating
34,customer->review panel->pre-check if length of review is legal->too short review error message,EQ,CTRL|INT,4,2,1,0,1,2,Review and Rating,Review and Rating
35,customer->review panel->pre-check if length of review is legal->store review and rating information->review,EI,CTRL|DM|EI,5,1,2,1,1,1,Review and Rating,Review and Rating
36,florist->Upload page->pre-check if required information valid->information is invalid,EQ,CTRL|INT,4,2,1,0,1,1,Upload catalog,Upload catalog
37,florist->Upload page->pre-check if required information valid->save uploaded information to db->category,EI,CTRL|DM|EI,5,1,2,1,1,0,Upload catalog,Upload catalog
38,florist->Upload page->pre-check if required information valid->exceeded limit error message,EQ,CTRL|INT,4,2,1,0,1,1,Upload catalog,Upload catalog
39,florist->catalog manage page->pre-check if required information valid->information is invalid,EQ,CTRL|INT,4,2,1,0,1,1,Manage Catalog,Manage Catalog
40,florist->catalog manage page->pre-check if required information valid->exceeded limit error message,EQ,CTRL|INT,4,2,1,0,1,1,Manage Catalog,Manage Catalog
