id,element,useCase,type,component
1,User:Student course page,update course preference,boundary,Studentcourselist
2,User:Send student detail,update course preference,boundary,Studentcourselist
3,User:Homepage,update course preference,boundary,Homepage
4,User:Confirm information,update course preference,control,Displaycomfirminformation
5,Confirm information:Display confirmation ,update course preference,control,Displaycomfirminformation
6,Display confirmation :Database,update course preference,entity,Database
7,Display confirmation :Homepage,update course preference,boundary,Homepage
8,Display detail:Display confirmation ,update course preference,control,Displaycomfirminformation
9,Send student detail:Display detail,update course preference,control,Displaycomfirminformation
10,Request student detail:Display detail,update course preference,control,Displaycomfirminformation
11,Student course page:Request student detail,update course preference,boundary,Studentcourselist
12,stl#User:Student course page,update course preference,Stimulus,undefined
13,stl#User:Send student detail,update course preference,Stimulus,undefined
14,stl#User:Homepage,update course preference,Stimulus,undefined
15,stl#User:Confirm information,update course preference,Stimulus,undefined
