id,path,functional,transactional,path_length,diagram,useCase
1,User->Account create page->validate input information->save user account->account,EI,CTRL|DM|EI,undefined,Create a new account,Create a new account
2,User->Account create page->validate input information->save user account->user profile page,EQ,CTRL|INT,undefined,Create a new account,Create a new account
3,User->Account create page->validate input information->invalid input information,EQ,CTRL|INT,undefined,Create a new account,Create a new account
4,User->Login page->validate user information->incorrect user information,EQ,CTRL|INT,undefined,Login,Login
5,User->Login page->validate user information->account,EI,CTRL|DM|EI,undefined,Login,Login
6,User->Login page->validate user information->user profile and search page,EQ,CTRL|INT,undefined,Login,Login
7,User->Edit profile button->display edit profile page->Profile Edit Page,EQ,CTRL|INT,undefined,Loginout,Loginout
8,User->Edit profile button->display edit profile page->Profile,EI,CTRL|DM|EI,undefined,Loginout,Loginout
9,User->credential input page->query linkedin->LinkedIn,FUNC_NA,CTRL|EXTIVK,undefined,Sign in social media accounts,Sign in social media accounts
10,User->credential input page->query facebook info->Facebook,FUNC_NA,CTRL|EXTIVK,undefined,Sign in social media accounts,Sign in social media accounts
11,User->credential input page->query google plus info->Google plus,FUNC_NA,CTRL|EXTIVK,undefined,Sign in social media accounts,Sign in social media accounts
12,User->social media login buttons->display crendential input page->credential input page,EQ,CTRL|INT,undefined,Sign in social media accounts,Sign in social media accounts
13,Facebook->query facebook info->sign in error message,FUNC_NA,CTRL|EXTCLL|INT,undefined,Sign in social media accounts,Sign in social media accounts
14,Google plus->query google plus info->sign in error message,FUNC_NA,CTRL|EXTCLL|INT,undefined,Sign in social media accounts,Sign in social media accounts
15,LinkedIn->query linkedin->sign in error message,FUNC_NA,CTRL|EXTCLL|INT,undefined,Sign in social media accounts,Sign in social media accounts
16,User->Edit profile button->display edit profile page->Profile Edit Page,EQ,CTRL|INT,undefined,Update user profile,Update user profile
17,User->Edit profile button->display edit profile page->Profile,EI,CTRL|DM|EI,undefined,Update user profile,Update user profile
18,User->Profile Edit Page->validate input data->save updated profile->Profile,EI,CTRL|DM|EI,undefined,Update user profile,Update user profile
19,User->Profile Edit Page->validate input data->Invalid input data,EQ,CTRL|INT,undefined,Update user profile,Update user profile
20,User->Job list page->validate input data->Invalid input data,EQ,CTRL|INT,undefined,Search for jobs,Search for jobs
21,User->Job search page->verify input information->invalid input information,EQ,CTRL|INT,undefined,Search for jobs,Search for jobs
22,User->Job search page->verify input information->Search by input keywords from Indeed.com->Indeed.com,FUNC_NA,CTRL|EXTIVK,undefined,Search for jobs,Search for jobs
23,Indeed.com->Sort search results->Job list page,FUNC_NA,CTRL|EXTCLL|INT,undefined,Search for jobs,Search for jobs
24,User->Save search button->save filters and criteria->search saved unsuccessfully error message,EQ,CTRL|INT,undefined,Save search results,Save search results
25,User->Save search button->save filters and criteria->search result,EI,CTRL|DM|EI,undefined,Save search results,Save search results
26,User->Save search button->save filters and criteria->search saved successfully message,EQ,CTRL|INT,undefined,Save search results,Save search results
27,User->Save Favorite Job Button->Save favorite jobs->saved successfully message,EQ,CTRL|INT,undefined,Mark favorite jobs,Mark favorite jobs
28,User->Save Favorite Job Button->Save favorite jobs->Favorite Jobs,EI,CTRL|DM|EI,undefined,Mark favorite jobs,Mark favorite jobs
29,User->Save Favorite Job Button->Save favorite jobs->saved unsuccessfully message,EQ,CTRL|INT,undefined,Mark favorite jobs,Mark favorite jobs
30,User->Request Referral Button->display friends by organization->Friends,EI,CTRL|DM|EI,undefined,Send a referral request email,Send a referral request email
31,User->Request Referral Button->display friends by organization->Friend selection page,EQ,CTRL|INT,undefined,Send a referral request email,Send a referral request email
32,User->Request Referral Button->display friends by organization->No fried found message,EQ,CTRL|INT,undefined,Send a referral request email,Send a referral request email
33,User->Friend selection page->display message edit page->message edit page,EQ,CTRL|INT,undefined,Send a referral request email,Send a referral request email
34,User->message edit page->send email message->Email Protocol,FUNC_NA,CTRL|EXTIVK,undefined,Send a referral request email,Send a referral request email
35,User->subscribe for notification button->save preferences for subscription->account,EI,CTRL|DM|EI,undefined,Email subscription,Email subscription
36,User->subscribe for notification button->save preferences for subscription->invalid email address message,EQ,CTRL|INT,undefined,Email subscription,Email subscription
