id,element,useCase,type,component
1,User:Homepage,Add new pages,boundary,Showconfirmationpage
2,User:Add new pages page,Add new pages,boundary,Addnewpagespage
3,Add new pages:Show confirmation page ,Add new pages,boundary,Showconfirmationpage
4,Add new pages:Pages db,Add new pages,boundary,Addnewpagespage
5,Add new pages page:Add new pages,Add new pages,boundary,Addnewpagespage
6,Show confirmation page :Add new pages page,Add new pages,boundary,Addnewpagespage
7,Show confirmation page :Homepage,Add new pages,boundary,Showconfirmationpage
8,stl#User:Homepage,Add new pages,Stimulus,undefined
9,stl#User:Add new pages page,Add new pages,Stimulus,undefined
10,User:Add/Remove / Update   Product  page,Add/Remove Product in Shopping cart,boundary,Product
11,User:Homepage,Add/Remove Product in Shopping cart,boundary,Showconfirmationpage
12,Add/Remove / Update   Product  page:Add/Remove / Update   Product from shopping cart,Add/Remove Product in Shopping cart,boundary,Product
13,Show confirmation page :Add/Remove / Update   Product  page,Add/Remove Product in Shopping cart,boundary,Product
14,Add/Remove / Update   Product from shopping cart:Show confirmation page ,Add/Remove Product in Shopping cart,boundary,Showconfirmationpage
15,Add/Remove / Update   Product from shopping cart:Product db,Add/Remove Product in Shopping cart,boundary,Product
16,Show confirmation page :Homepage,Add/Remove Product in Shopping cart,boundary,Showconfirmationpage
17,stl#User:Add/Remove / Update   Product  page,Add/Remove Product in Shopping cart,Stimulus,undefined
18,stl#User:Homepage,Add/Remove Product in Shopping cart,Stimulus,undefined
19,User:Homepage,Change website designs,control,Showconfirmationpage
20,User:Change website designs  page,Change website designs,boundary,Addnewpagespage
21,Change website designs:Websites designs  db,Change website designs,boundary,Websitesdesignsdb
22,Change website designs:Show confirmation page ,Change website designs,control,Showconfirmationpage
23,Change website designs  page:Change website designs,Change website designs,boundary,Websitesdesignsdb
24,Show confirmation page :Change website designs  page,Change website designs,boundary,Websitesdesignsdb
25,Show confirmation page :Homepage,Change website designs,control,Showconfirmationpage
26,stl#User:Homepage,Change website designs,Stimulus,undefined
27,stl#User:Change website designs  page,Change website designs,Stimulus,undefined
28,User:Contact the admin page,Contact the admin using the contact form,boundary,Administrator
29,User:Homepage,Contact the admin using the contact form,control,Showconfirmationpage
30,Choose a contact form :Admin db,Contact the admin using the contact form,boundary,Administrator
31,Choose a contact form :Show confirmation page ,Contact the admin using the contact form,control,Showconfirmationpage
32,Contact the admin page:Choose a contact form ,Contact the admin using the contact form,control,Showconfirmationpage
33,Show confirmation page :Contact the admin page,Contact the admin using the contact form,boundary,Administrator
34,Show confirmation page :Homepage,Contact the admin using the contact form,control,Showconfirmationpage
35,stl#User:Contact the admin page,Contact the admin using the contact form,Stimulus,undefined
36,stl#User:Homepage,Contact the admin using the contact form,Stimulus,undefined
37,User:Homepage,Maintain blog,control,Showconfirmationpage
38,User:Maintain  blog   page,Maintain blog,boundary,Blog Entry
39,Manage a  blog:Blog db,Maintain blog,boundary,Blog Entry
40,Show confirmation page :Homepage,Maintain blog,control,Showconfirmationpage
41,Maintain  blog   page:Manage a  blog,Maintain blog,boundary,Blog Entry
42,Show confirmation page :Maintain  blog   page,Maintain blog,boundary,Blog Entry
43,Manage a  blog:Show confirmation page ,Maintain blog,control,Showconfirmationpage
44,stl#User:Homepage,Maintain blog,Stimulus,undefined
45,stl#User:Maintain  blog   page,Maintain blog,Stimulus,undefined
46,User:Homepage,Updated via Social Media,boundary,Customer
47,User:Updated by social media  page,Updated via Social Media,entity,Updatesocialmedia
48,Show confirmation page :Homepage,Updated via Social Media,boundary,Customer
49,Show confirmation page :Updated by social media  page,Updated via Social Media,entity,Updatesocialmedia
50,Update social media:Show confirmation page ,Updated via Social Media,boundary,Showconfirmationpage
51,Update social media:Social media db,Updated via Social Media,entity,Updatesocialmedia
52,Updated by social media  page:Update social media,Updated via Social Media,entity,Updatesocialmedia
53,stl#User:Homepage,Updated via Social Media,Stimulus,undefined
54,stl#User:Updated by social media  page,Updated via Social Media,Stimulus,undefined
55,User:Product web page,Use website to Purchase product,boundary,Product
56,User:Homepage,Use website to Purchase product,boundary,Showconfirmationpage
57,Show confirmation page :Homepage,Use website to Purchase product,boundary,Showconfirmationpage
58,Product web page:Purchase a product,Use website to Purchase product,boundary,Product
59,Show confirmation page :Product web page,Use website to Purchase product,boundary,Product
60,Purchase a product:Social media db,Use website to Purchase product,entity,Updatesocialmedia
61,Purchase a product:Show confirmation page ,Use website to Purchase product,boundary,Showconfirmationpage
62,stl#User:Product web page,Use website to Purchase product,Stimulus,undefined
63,stl#User:Homepage,Use website to Purchase product,Stimulus,undefined
64,User:Homepage,View Product,boundary,Showconfirmationpage
65,User:View Product page,View Product,boundary,Product
66,Choose one of products:Show confirmation page ,View Product,boundary,Showconfirmationpage
67,View Product page:Choose one of products,View Product,boundary,Product
68,Show confirmation page :Homepage,View Product,boundary,Showconfirmationpage
69,Show confirmation page :View Product page,View Product,boundary,Product
70,stl#User:Homepage,View Product,Stimulus,undefined
71,stl#User:View Product page,View Product,Stimulus,undefined
72,User:Homepage,Write a blog comment,boundary,Showconfirmationpage
73,User:Write a blog commnet page,Write a blog comment,boundary,Blog Comment
74,Enters name email and comment :Show confirmation page ,Write a blog comment,boundary,Showconfirmationpage
75,Write a blog commnet page:Enters name email and comment ,Write a blog comment,boundary,Blog Comment
76,Show confirmation page :Homepage,Write a blog comment,boundary,Showconfirmationpage
77,Show confirmation page :Write a blog commnet page,Write a blog comment,boundary,Blog Comment
78,stl#User:Homepage,Write a blog comment,Stimulus,undefined
79,stl#User:Write a blog commnet page,Write a blog comment,Stimulus,undefined
